"","x"
"1368","DYSF"
"1369","ADCY4"
"1370","DHCR24"
"1371","DDIT3"
"1372","ADPRHL1"
"1373","CCDC149"
"1374","AGAP4"
"1375","EDA"
"1376","ANP32E"
"1377","DUSP16"
"1378","CHML"
"1379","C6orf226"
"1380","DNM3"
"1381","AP5Z1"
"1382","EME1"
"1383","FBXO6"
"1384","FDFT1"
"1385","CCNG1"
"1386","CCDC150"
"1387","ADAMTS13"
"1388","FBXL8"
"1389","CHD7"
"1390","FHOD1"
"1391","ESRP1"
"1392","CCDC159"
"1393","ARL15"
"1394","DSG3"
"1395","CDRT1"
"1396","BRI3BP"
"1397","ACAD11"
"1398","C11orf35"
"1399","ARSA"
"1400","DEPDC1"
"1401","CEL"
"1402","C7orf31"
"1403","CORO1B"
"1404","DYNLT3"
"1405","CCNE1"
"1406","CAPN1"
"1407","ARHGAP11A"
"1408","C6orf52"
"1409","BPGM"
"1410","ACER2"
"1411","FAM160B2"
"1412","C14orf159"
"1413","DUOX2"
"1414","AGAP10"
"1415","CREB3L2"
"1416","FAM131C"
"1417","FAM214B"
"1418","DMC1"
"1419","DYRK1B"
"1420","EGFL8"
"1421","ANKRD9"
"1422","C8orf58"
"1423","ABL2"
"1424","CDK20"
"1425","ANLN"
"1426","CDKN2D"
"1427","FAM27E3"
"1428","BMI1"
"1429","EXOSC4"
"1430","FBXO41"
"1431","BAG3"
"1432","CC2D2A"
"1433","CIC"
"1434","DENND2C"
"1435","FAM65A"
"1436","CAPS2"
"1437","AKNA"
"1438","CYTH3"
"1439","CEP19"
"1440","CD200"
"1441","FAM3C"
"1442","FOXA3"
"1443","ATG16L2"
"1444","CTAGE4"
"1445","DNASE1"
"1446","COQ10A"
"1447","BFSP1"
"1448","CCPG1"
"1449","DDHD2"
"1450","FAM60A"
"1451","COMT"
"1452","C2orf81"
"1453","ATAD3B"
"1454","BBX"
"1455","CCP110"
"1456","CCDC84"
"1457","CERS6"
"1458","CCDC82"
"1459","DNMT3A"
"1460","DISC1"
"1461","FBXW5"
"1462","CCDC102B"
"1463","AGAP8"
"1464","DOC2A"
"1465","ACAP1"
"1466","CDC7"
"1467","DLG3"
"1468","DHCR7"
"1469","DHRS9"
"1470","DUSP23"
"1471","FAM47E-STBD1"
"1472","ANKRD10"
"1473","B3GNT4"
"1474","C10orf35"
"1475","CHURC1-FNTB"
"1476","BTG1"
"1477","ANXA8"
"1478","FAM89B"
"1479","DNMT3B"
"1480","CNGA1"
"1481","COX6B2"
"1482","CAST"
"1483","ECE2"
"1484","EME2"
"1485","DTX3L"
"1486","DIAPH2"
"1487","ALPK3"
"1488","ADCY3"
"1489","DAB2IP"
"1490","ABTB2"
"1491","ALDH7A1"
"1492","CRTAP"
"1493","AMIGO1"
"1494","FAM111B"
"1495","CHRNB1"
"1496","FAM214A"
"1497","C1orf63"
"1498","CSPG5"
"1499","ADCY6"
"1500","CCDC71L"
"1501","C19orf66"
"1502","ANK1"
"1503","DUSP15"
"1504","CTNNBIP1"
"1505","CLCN3"
"1506","CD151"
"1507","ACOT1"
"1508","CEP97"
"1509","CCDC88C"
"1510","ATP6AP1L"
"1511","CDC14B"
"1512","ARHGAP39"
"1513","C11orf80"
"1514","CKAP2L"
"1515","DPY19L3"
"1516","DOK3"
"1517","BTBD2"
"1518","ENTPD3"
"1519","AP3B2"
"1520","ENTPD6"
"1521","ABCD1"
"1522","ATP8B3"
"1523","BID"
"1524","FBXL14"
"1525","C7orf63"
"1526","ADAM15"
"1527","CASP6"
"1528","ATP11C"
"1529","FBLN2"
"1530","C1orf228"
"1531","C11orf83"
"1532","ATAD3A"
"1533","CDK2AP2"
"1534","CBWD7"
"1535","CD63"
"1536","FNBP1L"
"1537","CATSPER2"
"1538","FBXO10"
"1539","CHST12"
"1540","CYLD"
"1541","AGAP5"
"1542","AHI1"
"1543","FCHSD2"
"1544","ACPL2"
"1545","ETFB"
"1546","ARMCX3"
"1547","C6orf1"
"1548","CREG2"
"1549","DNLZ"
"1550","APP"
"1551","CYB5R1"
"1552","ACAT1"
"1553","ACADM"
"1554","C18orf56"
"1555","CCDC24"
"1556","DZIP3"
"1557","ATP6V0C"
"1558","C5orf30"
"1559","ATN1"
"1560","DCBLD1"
"1561","ASPM"
"1562","DRAP1"
"1563","BCL9"
"1564","ARL17A"
"1565","EZH2"
"1566","ASGR1"
"1567","DNHD1"
"1568","ATAT1"
"1569","CAPN10"
"1570","DNAH5"
"1571","AKR1B15"
"1572","FAH"
"1573","ARHGEF6"
"1574","FAM83D"
"1575","FAM213A"
"1576","CDC25B"
"1577","AGTRAP"
"1578","CCL2"
"1579","C7orf55"
"1580","FAM219A"
"1581","DISP1"
"1582","CASD1"
"1583","FLYWCH1"
"1584","EXO1"
"1585","FAM117A"
"1586","DHRS7"
"1587","AFAP1"
"1588","ATXN1"
"1589","DOPEY2"
"1590","FAM24B"
"1591","ARHGAP11B"
"1592","FAM71E1"
"1593","BUB1B"
"1594","DNAH11"
"1595","AIFM2"
"1596","EHHADH"
"1597","CTH"
"1598","AP1G2"
"1599","ALDH6A1"
"1600","C1orf85"
"1601","CIT"
"1602","CCDC14"
"1603","BIVM"
"1604","FAM207A"
"1605","C19orf82"
"1606","C4B"
"1607","C14orf37"
"1608","BEND6"
"1609","CTDSPL2"
"1610","C16orf59"
"1611","ARL6IP5"
"1612","APLP2"
"1613","CYB561"
"1614","ATP6V1E2"
"1615","ARHGEF3"
"1616","DTL"
"1617","CPT1A"
"1618","EHBP1"
"1619","ENO1"
"1620","AGER"
"1621","FAM120C"
"1622","E2F2"
"1623","ATP1B3"
"1624","APOM"
"1625","FEM1B"
"1626","C11orf84"
"1627","CCSAP"
"1628","ARL13B"
"1629","BRMS1L"
"1630","ENOSF1"
"1631","AP1M1"
"1632","C9orf89"
"1633","DGCR6L"
"1634","C9orf72"
"1635","ARNTL"
"1636","FBF1"
"1637","ACOT2"
"1638","CLIC1"
"1639","ASAP2"
"1640","FAM127B"
"1641","ANKRD12"
"1642","ANKRD28"
"1643","AK7"
"1644","CDC42BPA"
"1645","EPM2AIP1"
"1646","CDCA4"
"1647","EFNA2"
"1648","ABHD14B"
"1649","ASMTL"
"1650","CORO1C"
"1651","CROT"
"1652","ENTPD4"
"1653","ACE2"
"1654","C19orf60"
"1655","ABCC1"
"1656","EHD4"
"1657","DMTF1"
"1658","C9orf9"
"1659","EXD3"
"1660","C8orf47"
"1661","CCL5"
"1662","FAM168A"
"1663","FAM154B"
"1664","ASB13"
"1665","CLHC1"
"1666","AAK1"
"1667","CLDN12"
"1668","EXTL3"
"1669","CD81"
"1670","CNNM4"
"1671","DLG5"
"1672","ATF5"
"1673","DAP"
"1674","AURKB"
"1675","CANT1"
"1676","CENPM"
"1677","C1orf172"
"1678","FAM156B"
"1679","CD276"
"1680","C12orf55"
"1681","AP3M2"
"1682","DUSP9"
"1683","BIVM-ERCC5"
"1684","CCDC113"
"1685","ESCO2"
"1686","CHD6"
"1687","C3orf70"
"1688","C1RL"
"1689","ABHD14A"
"1690","ACP6"
"1691","C4BPB"
"1692","EPB41L5"
"1693","E2F1"
"1694","DYRK4"
"1695","ACVR1"
"1696","CCDC85C"
"1697","ATP11B"
"1698","DGKH"
"1699","DHRS13"
"1700","FAM156A"
"1701","DENND4C"
"1702","ERC1"
"1703","ARPC4-TTLL3"
"1704","FAM72D"
"1705","C1orf198"
"1706","DDX11"
"1707","DDHD1"
"1708","B4GALT4"
"1709","B3GALT5"
"1710","ACTN4"
"1711","C1orf186"
"1712","CLSTN1"
"1713","ADAT2"
"1714","FAM63B"
"1715","FAM193B"
"1716","DENND1B"
"1717","AMN1"
"1718","FNDC3A"
"1719","CLK1"
"1720","CACNA1C"
"1721","FKBP9"
"1722","FAM13B"
"1723","ELF1"
"1724","BCL2L11"
"1725","CASP8"
"1726","ACHE"
"1727","EPB41"
"1728","ENPEP"
"1729","DLGAP5"
"1730","CTBS"
"1731","ETNK1"
"1732","CORO6"
"1733","EPHB4"
"1734","ADK"
"1735","CTSA"
"1736","C6orf48"
"1737","B3GNT1"
"1738","EPN2"
"1739","EXOSC5"
"1740","EXOC6"
"1741","ACBD4"
"1742","CMTM6"
"1743","ACADSB"
"1744","CBX4"
"1745","ARRDC2"
"1746","AGA"
"1747","ALDH3A2"
"1748","BCO2"
"1749","C10orf118"
"1750","ARMC9"
"1751","EPHB1"
"1752","CLN8"
"1753","BCAS3"
"1754","CMPK1"
"1755","BCR"
"1756","CDK10"
"1757","ECI1"
"1758","CHST7"
"1759","EBP"
"1760","ARMCX6"
"1761","ATP1A1"
"1762","BTAF1"
"1763","ADAM32"
"1764","C1orf53"
"1765","ARHGAP12"
"1766","CDC42SE2"
"1767","APOL4"
"1768","CPA4"
"1769","COL5A1"
"1770","C9orf91"
"1771","CYSLTR1"
"1772","B3GNT2"
"1773","AMDHD2"
"1774","FLRT2"
"1775","CENPW"
"1776","CDC42SE1"
"1777","CCT6B"
"1778","ATP13A2"
"1779","ERF"
"1780","ARHGDIG"
"1781","DFNB59"
"1782","AP4S1"
"1783","CHI3L2"
"1784","ARHGAP21"
"1785","CPLX1"
"1786","ELF4"
"1787","FAM174A"
"1788","FAM122C"
"1789","EMC10"
"1790","FLT3LG"
"1791","CTAGE5"
"1792","COMMD3-BMI1"
"1793","FGGY"
"1794","BAD"
"1795","ATRN"
"1796","ADAL"
"1797","C9orf142"
"1798","DCLK1"
"1799","FAIM"
"1800","FAM21D"
"1801","ATL3"
"1802","C11orf82"
"1803","BSG"
"1804","C15orf65"
"1805","DBI"
"1806","FBXO5"
"1807","CDC20"
"1808","AMPD2"
"1809","CMTM1"
"1810","CYP26B1"
"1811","C5orf34"
"1812","CPS1"
"1813","DHRSX"
"1814","DSTYK"
"1815","ESPL1"
"1816","CARD11"
"1817","ARL9"
"1818","CKAP2"
"1819","CNTRL"
"1820","CLCN5"
"1821","CENPE"
"1822","CBX7"
"1823","FIBCD1"
"1824","CDK19"
"1825","ACAT2"
"1826","CACNB3"
"1827","BRIP1"
"1828","BCAP29"
"1829","BARD1"
"1830","BLCAP"
"1831","AQP5"
"1832","CUX1"
"1833","ADAM17"
"1834","C18orf32"
"1835","BBS4"
"1836","C1orf54"
"1837","DGKE"
"1838","ATP6V1B2"
"1839","CSRP1"
"1840","FAM160A2"
"1841","CYP2D6"
"1842","APRT"
"1843","C17orf103"
"1844","FERMT3"
"1845","CDKL5"
"1846","BHLHB9"
"1847","FANCI"
"1848","ARRB2"
"1849","FAM203A"
"1850","ATF7IP"
"1851","DVL2"
"1852","ALPK1"
"1853","ALDOA"
"1854","DHTKD1"
"1855","CDR2"
"1856","CHAC2"
"1857","C4orf33"
"1858","AFF4"
"1859","BBS9"
"1860","EXOG"
"1861","ELP5"
"1862","C11orf71"
"1863","CDC25A"
"1864","CAPN9"
"1865","DNA2"
"1866","FOSB"
"1867","AURKAIP1"
"1868","DOK7"
"1869","ACBD5"
"1870","ACTR3B"
"1871","ADORA1"
"1872","CCDC18"
"1873","CDC42EP4"
"1874","FBXO43"
"1875","CD274"
"1876","CCDC50"
"1877","ABCC9"
"1878","DIAPH3"
"1879","ARHGEF9"
"1880","EPB41L3"
"1881","DNAJC10"
"1882","C4orf46"
"1883","BMPR1A"
"1884","CD164"
"1885","CENPL"
"1886","CCNYL1"
"1887","CA5B"
"1888","FAM115A"
"1889","C19orf26"
"1890","FAM162A"
"1891","CRYGS"
"1892","EGLN1"
"1893","BBS5"
"1894","ETV6"
"1895","CA3"
"1896","CEP55"
"1897","DCDC2"
"1898","CLIP1"
"1899","C9orf169"
"1900","CNDP2"
"1901","AK3"
"1902","DSCC1"
"1903","CMYA5"
"1904","AGAP6"
"1905","CSPG4"
"1906","C2orf27A"
"1907","FBXO25"
"1908","AGPAT5"
"1909","CDC45"
"1910","CERK"
"1911","BOLA1"
"1912","CAT"
"1913","ARL5B"
"1914","ACAA1"
"1915","CCDC66"
"1916","CATSPERG"
"1917","BLOC1S6"
"1918","ERCC6L2"
"1919","B3GAT3"
"1920","DOPEY1"
"1921","CCDC30"
"1922","FLVCR1"
"1923","DONSON"
"1924","C5orf24"
"1925","C1orf204"
"1926","AK8"
"1927","CYP1B1"
"1928","FGF2"
"1929","C11orf1"
"1930","EVI5L"
"1931","C5orf15"
"1932","ANKHD1-EIF4EBP3"
"1933","ACN9"
"1934","FAM208B"
"1935","ACO1"
"1936","ABHD5"
"1937","FAM227A"
"1938","CYP51A1"
"1939","CRTC1"
"1940","C17orf80"
"1941","COL8A2"
"1942","ADCY9"
"1943","CASC5"
"1944","CBLB"
"1945","CNTD2"
"1946","CCDC120"
"1947","CUL7"
"1948","ANO7"
"1949","C15orf62"
"1950","BAZ2B"
"1951","ENTPD7"
"1952","CCND3"
"1953","ENKD1"
"1954","FAM178A"
"1955","ABCB9"
"1956","ARL3"
"1957","ATP9B"
"1958","APPBP2"
"1959","CDK3"
"1960","DHFR"
"1961","DEPDC1B"
"1962","BRAT1"
"1963","FAM227B"
"1964","FMO4"
"1965","CYP27B1"
"1966","EFR3A"
"1967","C1GALT1C1"
"1968","FBXO4"
"1969","C15orf38"
"1970","ADAM10"
"1971","CENPJ"
"1972","BAG1"
"1973","BUB1"
"1974","FAM57A"
"1975","CLK4"
"1976","CHORDC1"
"1977","AASDHPPT"
"1978","ACTL10"
"1979","CES1"
"1980","C21orf119"
"1981","C1orf56"
"1982","FANCA"
"1983","CDKN3"
"1984","ARHGDIA"
"1985","ADRM1"
"1986","CKLF"
"1987","ABCD3"
"1988","ARFGAP3"
"1989","ANKRD13D"
"1990","ARID4B"
"1991","FKBP4"
"1992","ATP6V1C1"
"1993","ARHGEF39"
"1994","DCXR"
"1995","FAM179B"
"1996","DSEL"
"1997","CSRNP1"
"1998","CAND2"
"1999","C3orf55"
"2000","DCUN1D4"
"2001","BCL7A"
"2002","ASH1L"
"2003","ARL2"
"2004","CRELD1"
"2005","EXOC5"
"2006","C4orf21"
"2007","DDX17"
"2008","FAM86B1"
"2009","FAM63A"
"2010","B4GALT5"
"2011","BIRC5"
"2012","C19orf45"
"2013","ACBD7"
"2014","AFF1"
"2015","CENPA"
"2016","ANO6"
"2017","CHCHD7"
"2018","FHAD1"
"2019","ALG10B"
"2020","DHX40"
"2021","FOCAD"
"2022","CCDC34"
"2023","CTU2"
"2024","ARID3B"
"2025","C4orf27"
"2026","FCGBP"
"2027","BLM"
"2028","DBF4"
"2029","B3GALT6"
"2030","C5orf63"
"2031","CATSPERB"
"2032","CCDC171"
"2033","ECT2"
"2034","FAM229A"
"2035","C12orf50"
"2036","CDK1"
"2037","BMPR2"
"2038","CCDC130"
"2039","CRABP1"
"2040","CREBBP"
"2041","COLQ"
"2042","EFCAB7"
"2043","FAM210A"
"2044","EDEM1"
"2045","CENPK"
"2046","ATG2B"
"2047","DUS3L"
"2048","CBX8"
"2049","ENDOG"
"2050","B3GALTL"
"2051","AMIGO3"
"2052","DERA"
"2053","CDC27"
"2054","ACER3"
"2055","DNAL1"
"2056","DNMT1"
"2057","CLDN9"
"2058","DNTTIP1"
"2059","EAF2"
"2060","CHKB"
"2061","DNAJC1"
"2062","CLCN7"
"2063","ACOT13"
"2064","C8orf31"
"2065","FBXL5"
"2066","BRCA2"
"2067","BRI3"
"2068","ACVR2A"
"2069","AGO2"
"2070","B9D1"
"2071","CCNB2"
"2072","ACRBP"
"2073","C9orf40"
"2074","ENDOV"
"2075","ARL6IP6"
"2076","C19orf48"
"2077","CYB5R3"
"2078","C8orf82"
"2079","DAPK3"
"2080","CHCHD6"
"2081","DZANK1"
"2082","AOC1"
"2083","AGO3"
"2084","CHIC1"
"2085","C9orf37"
"2086","BACH1"
"2087","DYX1C1"
"2088","CYB5R4"
"2089","EPM2A"
"2090","CALCOCO1"
"2091","CCDC6"
"2092","CUL9"
"2093","C5orf54"
"2094","ATXN7L2"
"2095","AGBL2"
"2096","CPNE1"
"2097","FAM117B"
"2098","DICER1"
"2099","CYB561D2"
"2100","CEP78"
"2101","CCDC77"
"2102","BCKDHB"
"2103","AUNIP"
"2104","DCAKD"
"2105","DUSP22"
"2106","CENPN"
"2107","E2F8"
"2108","CARF"
"2109","ACSL3"
"2110","CCNDBP1"
"2111","CRELD2"
"2112","CCDC19"
"2113","CEP85"
"2114","AAMDC"
"2115","DNASE1L1"
"2116","DHRS4"
"2117","DCUN1D1"
"2118","CYP27C1"
"2119","BRSK2"
"2120","ADRA2C"
"2121","EPG5"
"2122","C10orf82"
"2123","CLCN6"
"2124","DEAF1"
"2125","DHRS12"
"2126","C11orf54"
"2127","AGL"
"2128","C5orf66"
"2129","AAED1"
"2130","FAM3A"
"2131","DSTN"
"2132","CHD9"
"2133","AGT"
"2134","ATP2A1"
"2135","CLASP2"
"2136","CLMP"
"2137","AGTPBP1"
"2138","EXO5"
"2139","CHMP2B"
"2140","C15orf39"
"2141","C2CD5"
"2142","EEA1"
"2143","EID3"
"2144","CEP57L1"
"2145","CHPF2"
"2146","DHDH"
"2147","BTD"
"2148","BTF3L4"
"2149","CDC6"
"2150","BORA"
"2151","CSF2RA"
"2152","CARD8"
"2153","ANKMY2"
"2154","CENPB"
"2155","ACVR1B"
"2156","DENND2A"
"2157","CENPI"
"2158","FKBP8"
"2159","FAM53B"
"2160","APAF1"
"2161","ERICH1"
"2162","DCAF13"
"2163","CDK5RAP3"
"2164","C5orf45"
"2165","FAM189B"
"2166","B3GALNT2"
"2167","ARHGAP5"
"2168","DOCK10"
"2169","CEP250"
"2170","BCORL1"
"2171","ECSIT"
"2172","CENPH"
"2173","CASC4"
"2174","APLF"
"2175","CHFR"
"2176","C22orf46"
"2177","CEP290"
"2178","CCDC122"
"2179","CDC34"
"2180","E2F3"
"2181","BRD8"
"2182","DAG1"
"2183","EBPL"
"2184","CYB5D1"
"2185","CPNE3"
"2186","EIF2AK2"
"2187","FANCE"
"2188","FANCL"
"2189","ERI1"
"2190","EHMT2"
"2191","FER"
"2192","C1orf112"
"2193","FAM26F"
"2194","DIP2B"
"2195","ATRX"
"2196","DLX6"
"2197","C5orf55"
"2198","CCDC138"
"2199","ERN2"
"2200","C8orf37"
"2201","ENTHD2"
"2202","FCHO2"
"2203","FIGNL1"
"2204","C7orf60"
"2205","CXCL10"
"2206","EDEM3"
"2207","C19orf44"
"2208","CCDC91"
"2209","DENND4B"
"2210","CCDC110"
"2211","FBXL19"
"2212","C18orf25"
"2213","ALG5"
"2214","CEP95"
"2215","CRIP3"
"2216","ASF1A"
"2217","CRY1"
"2218","ADRBK1"
"2219","CCDC126"
"2220","C1orf213"
"2221","C12orf54"
"2222","FAP"
"2223","CLUAP1"
"2224","ADCY1"
"2225","CABLES2"
"2226","C2CD2"
"2227","CIRBP"
"2228","FDX1L"
"2229","ABCD4"
"2230","ATP5A1"
"2231","CKAP5"
"2232","BMP2K"
"2233","CCDC167"
"2234","CLOCK"
"2235","ALPL"
"2236","BDKRB1"
"2237","AURKA"
"2238","ASF1B"
"2239","CEP135"
"2240","CCDC125"
"2241","CDCA3"
"2242","DACT1"
"2243","FAM131A"
"2244","DGKZ"
"2245","BCAT2"
"2246","CENPBD1"
"2247","CEP192"
"2248","CCNA2"
"2249","FASTK"
"2250","CFLAR"
"2251","CAP1"
"2252","CCAR2"
"2253","CDC14A"
"2254","CXXC1"
"2255","CLDND1"
"2256","C9orf69"
"2257","ADAR"
"2258","CCDC112"
"2259","DNAJC3"
"2260","AKAP13"
"2261","FAM49B"
"2262","AP1S1"
"2263","EIF3E"
"2264","ANAPC11"
"2265","C12orf5"
"2266","ERLIN2"
"2267","CCNB1IP1"
"2268","CMC4"
"2269","FAM21A"
"2270","ANKZF1"
"2271","ERCC1"
"2272","CCNB1"
"2273","CHP1"
"2274","DYRK2"
"2275","C2CD2L"
"2276","ACADVL"
"2277","CSNK1G2"
"2278","EEF1B2"
"2279","C8orf44"
"2280","BCOR"
"2281","DMXL1"
"2282","FAM178B"
"2283","CEP128"
"2284","FANCD2"
"2285","CEP68"
"2286","ALMS1"
"2287","FNBP4"
"2288","ABCB8"
"2289","ARFGAP1"
"2290","ERCC2"
"2291","CREBZF"
"2292","BIN3"
"2293","CLK2"
"2294","AKAP11"
"2295","DHRS4L2"
"2296","FAM122B"
"2297","AES"
"2298","DBF4B"
"2299","C8orf33"
"2300","APPL1"
"2301","DTD1"
"2302","AEN"
"2303","ARHGAP19"
"2304","CLDN11"
"2305","ABHD12"
"2306","CTNND1"
"2307","AKTIP"
"2308","DNM2"
"2309","CCSER2"
"2310","CCDC103"
"2311","CLASP1"
"2312","ATP13A3"
"2313","DDT"
"2314","C15orf41"
"2315","CEP350"
"2316","AEBP2"
"2317","C8orf88"
"2318","CCDC15"
"2319","APC"
"2320","FAM8A1"
"2321","EVI5"
"2322","CYC1"
"2323","CCDC25"
"2324","CCNJ"
"2325","CYHR1"
"2326","DDRGK1"
"2327","DEK"
"2328","CUEDC2"
"2329","ALDH18A1"
"2330","ALYREF"
"2331","BCL2L10"
"2332","APPL2"
"2333","BATF3"
"2334","CCBL1"
"2335","FAM72A"
"2336","CCDC92"
"2337","ARL2BP"
"2338","CDK11A"
"2339","BBS10"
"2340","CTPS1"
"2341","ARFGEF1"
"2342","CNOT7"
"2343","ATXN10"
"2344","EML4"
"2345","ATAD5"
"2346","DNAJB9"
"2347","FAM73A"
"2348","FAM91A1"
"2349","BCL10"
"2350","BAG4"
"2351","FAM172A"
"2352","CTPS2"
"2353","ATP6AP2"
"2354","DPCD"
"2355","CDS2"
"2356","DOCK7"
"2357","ARHGEF12"
"2358","ERCC5"
"2359","CENPO"
"2360","ATG4D"
"2361","CASKIN2"
"2362","BEGAIN"
"2363","C9orf96"
"2364","FKRP"
"2365","APOO"
"2366","ASH2L"
"2367","ASPSCR1"
"2368","FAM188B"
"2369","ELP3"
"2370","ERGIC2"
"2371","DCAF5"
"2372","FAM200B"
"2373","AIFM1"
"2374","BAZ1A"
"2375","ANGEL1"
"2376","AP4B1"
"2377","CDKN1B"
"2378","ANKRD26"
"2379","CCDC57"
"2380","DNAJA1"
"2381","CTDSPL"
"2382","ESYT2"
"2383","ANXA2R"
"2384","FGF12"
"2385","C20orf196"
"2386","CD22"
"2387","CARHSP1"
"2388","ACYP2"
"2389","DIRC2"
"2390","CAMTA2"
"2391","AKAP17A"
"2392","C2orf76"
"2393","FAM155B"
"2394","DAK"
"2395","DDX21"
"2396","CTNNB1"
"2397","ACAP2"
"2398","EIF2AK3"
"2399","CEP152"
"2400","FAM217B"
"2401","CDC25C"
"2402","DCUN1D2"
"2403","FARP2"
"2404","ELOVL1"
"2405","DHRS1"
"2406","CRIPAK"
"2407","DARS2"
"2408","BOLA2B"
"2409","CLASRP"
"2410","CSRNP2"
"2411","APMAP"
"2412","CD72"
"2413","CYTH1"
"2414","FAM53A"
"2415","CENPT"
"2416","ATL2"
"2417","FBL"
"2418","CDK8"
"2419","DCN"
"2420","ATXN3"
"2421","AZIN1"
"2422","CD3EAP"
"2423","CBR4"
"2424","BTBD6"
"2425","CDCA5"
"2426","AXIN1"
"2427","CNTROB"
"2428","BRCA1"
"2429","CEBPA"
"2430","CACNA2D1"
"2431","CDKL3"
"2432","AP2B1"
"2433","COLGALT2"
"2434","FBXO36"
"2435","ANXA8L2"
"2436","ABL1"
"2437","AHCY"
"2438","C2CD4A"
"2439","ARL6"
"2440","CYB5D2"
"2441","CSPP1"
"2442","AMZ2"
"2443","CCND2"
"2444","FBXO45"
"2445","AGAP3"
"2446","ARF6"
"2447","DIS3L"
"2448","CCDC117"
"2449","DCK"
"2450","ADSS"
"2451","CLPB"
"2452","BRWD1"
"2453","CD14"
"2454","CEBPG"
"2455","COMMD2"
"2456","C17orf58"
"2457","CCDC28A"
"2458","DUSP18"
"2459","DOT1L"
"2460","FBXL17"
"2461","CLPP"
"2462","CMTR2"
"2463","C14orf79"
"2464","CCDC41"
"2465","CYB5B"
"2466","ELP2"
"2467","C12orf29"
"2468","DENND4A"
"2469","ARL6IP1"
"2470","APBA3"
"2471","FANCC"
"2472","C7orf43"
"2473","FKTN"
"2474","CC2D1A"
"2475","FLCN"
"2476","CHAF1A"
"2477","CCNL1"
"2478","ENTPD5"
"2479","ALKBH2"
"2480","DDX54"
"2481","BAX"
"2482","C17orf59"
"2483","BACH2"
"2484","AGBL5"
"2485","CARM1"
"2486","ECH1"
"2487","ARMC2"
"2488","CCDC107"
"2489","ARID1A"
"2490","CSRNP3"
"2491","DECR1"
"2492","C5orf51"
"2493","DCAF16"
"2494","C5orf28"
"2495","C12orf4"
"2496","CNPY3"
"2497","ATP7A"
"2498","ARF4"
"2499","CTTNBP2NL"
"2500","BLZF1"
"2501","CDK5RAP2"
"2502","CCNT2"
"2503","DUS1L"
"2504","ANKRD32"
"2505","C19orf25"
"2506","COLGALT1"
"2507","AMMECR1"
"2508","AGO4"
"2509","DEDD2"
"2510","BTBD9"
"2511","FAM73B"
"2512","CCDC104"
"2513","CAMSAP1"
"2514","FAM58A"
"2515","AKAP9"
"2516","BPNT1"
"2517","BBS1"
"2518","ATAD2B"
"2519","AGBL3"
"2520","C11orf30"
"2521","CAND1"
"2522","BEAN1"
"2523","CXorf24"
"2524","ACOX1"
"2525","CEP89"
"2526","ANKRD13A"
"2527","CKS2"
"2528","CCDC93"
"2529","CEP72"
"2530","CCM2"
"2531","AP1AR"
"2532","CETN3"
"2533","FMR1"
"2534","C2CD3"
"2535","AK9"
"2536","FITM2"
"2537","C1QBP"
"2538","ABHD15"
"2539","C20orf24"
"2540","DDX6"
"2541","ENTPD1"
"2542","ENOX2"
"2543","AP2M1"
"2544","C17orf70"
"2545","BRD3"
"2546","CGGBP1"
"2547","ANKRD23"
"2548","BCL7C"
"2549","CHEK1"
"2550","BRCC3"
"2551","DBT"
"2552","ATF2"
"2553","CXorf23"
"2554","CD101"
"2555","ACTR6"
"2556","C19orf12"
"2557","EZH1"
"2558","ANKRD46"
"2559","E4F1"
"2560","AGAP1"
"2561","CBL"
"2562","BRWD3"
"2563","EXT2"
"2564","CCDC153"
"2565","ELMO2"
"2566","CDCA8"
"2567","ETAA1"
"2568","CNOT6L"
"2569","CREBRF"
"2570","FAM104B"
"2571","FAHD2A"
"2572","FAM98B"
"2573","FANCB"
"2574","CLN6"
"2575","AVEN"
"2576","ALDH9A1"
"2577","COMMD7"
"2578","CDNF"
"2579","CEP164"
"2580","DLG1"
"2581","CHMP7"
"2582","ARL14EP"
"2583","FANCG"
"2584","FAM76B"
"2585","FAM212A"
"2586","EIF4A2"
"2587","EIF4G3"
"2588","FAM114A2"
"2589","DCTPP1"
"2590","ARAP1"
"2591","ERBB2IP"
"2592","CRTC3"
"2593","C19orf55"
"2594","COMMD3"
"2595","CTNS"
"2596","CEP44"
"2597","CCDC163P"
"2598","AGPAT6"
"2599","CLN3"
"2600","CD164L2"
"2601","CLCC1"
"2602","CHCHD5"
"2603","BVES"
"2604","CNNM3"
"2605","DNASE2"
"2606","FCGR2A"
"2607","CHAMP1"
"2608","ALG6"
"2609","CSK"
"2610","ATG4A"
"2611","APOOL"
"2612","ERMAP"
"2613","B3GNTL1"
"2614","DCST2"
"2615","CDK2"
"2616","C11orf24"
"2617","FAM173B"
"2618","AP3S2"
"2619","ACOT9"
"2620","ATP6V1A"
"2621","C17orf89"
"2622","CGRRF1"
"2623","CASP3"
"2624","ARMC5"
"2625","CLUH"
"2626","FEM1C"
"2627","AIG1"
"2628","EID2"
"2629","CAMK2N2"
"2630","CECR5"
"2631","COX6C"
"2632","COPG2"
"2633","ERGIC1"
"2634","DYNC1LI2"
"2635","BCKDHA"
"2636","DHX32"
"2637","ANAPC2"
"2638","COMMD10"
"2639","EPT1"
"2640","C16orf13"
"2641","DESI2"
"2642","B9D2"
"2643","DPY19L4"
"2644","DIP2A"
