"","x"
"325","DSC2"
"326","EEF1A2"
"327","ANPEP"
"328","ETS1"
"329","CYP4F12"
"330","FLRT3"
"331","FAM198B"
"332","FKBP1B"
"333","BEND7"
"334","C10orf54"
"335","C1orf115"
"336","FABP5"
"337","FAM83F"
"338","DNAJC22"
"339","DUSP6"
"340","DNALI1"
"341","AXL"
"342","COL27A1"
"343","FAM110C"
"344","CHDH"
"345","DEPTOR"
"346","CADPS2"
"347","ABLIM2"
"348","AKT3"
"349","EPB41L4A"
"350","CLIP4"
"351","ASPHD1"
"352","EFNB1"
"353","ARNT2"
"354","CCL28"
"355","APOC1"
"356","C2orf74"
"357","ATP8A1"
"358","EBF4"
"359","ADAMTSL5"
"360","AQP1"
"361","CFL2"
"362","ASS1"
"363","DNAJB5"
"364","CLDN7"
"365","FBXO27"
"366","DTX4"
"367","CYP2J2"
"368","ETS2"
"369","ARHGAP24"
"370","CD163L1"
"371","ERAP2"
"372","AS3MT"
"373","APOBEC3C"
"374","DSE"
"375","CYP39A1"
"376","DUSP5"
"377","CCDC85B"
"378","ADM"
"379","CENPV"
"380","EPHB6"
"381","B4GALNT1"
"382","DMTN"
"383","A1BG"
"384","ELMO3"
"385","BOC"
"386","ARHGEF16"
"387","FAM134B"
"388","CAMK1D"
"389","CITED4"
"390","CELSR1"
"391","BAI2"
"392","AGPAT4"
"393","BNIP3"
"394","ETV4"
"395","ETNK2"
"396","CTSH"
"397","BSPRY"
"398","ANKRD65"
"399","EPB41L2"
"400","ANG"
"401","CD55"
"402","FOS"
"403","CES4A"
"404","FGF11"
"405","ATHL1"
"406","FAM107B"
"407","CELF2"
"408","CARD10"
"409","ATP1B1"
"410","FMO5"
"411","ANKRD29"
"412","FHL2"
"413","C16orf45"
"414","CD44"
"415","AGPAT9"
"416","ABCC6"
"417","CALHM2"
"418","FMNL3"
"419","CERCAM"
"420","FES"
"421","CYB5R2"
"422","CREB5"
"423","ELL2"
"424","FAM3B"
"425","COTL1"
"426","ALCAM"
"427","FAS"
"428","EHD3"
"429","C15orf52"
"430","CTSV"
"431","CXCL16"
"432","B3GALNT1"
"433","EMID1"
"434","CPM"
"435","AGR3"
